rowid,kepid,kepoi_name,kepler_name,koi_period,koi_ror,koi_srho,koi_prad,koi_sma,koi_teq,koi_insol,koi_dor,koi_count,koi_steff,koi_slogg,koi_smet,koi_srad,koi_smass
2420,9838468,K02943.01,Kepler-1391 b,54.4099612,0.012628,0.56867,1.56,0.2768,513.0,16.35,44.65,1,5746.0,4.309,0.0,1.133,0.954
2423,11401755,K00277.02,Kepler-36 b,13.84984567,0.008397,0.31133,1.45,0.1133,977.0,214.98,14.67,2,5919.0,4.042,-0.2,1.585,1.009
2424,7673192,K02722.01,Kepler-402 c,6.12479773,0.011473,0.31706,1.51,0.0659,1140.0,399.43,8.57,5,6052.0,4.285,-0.12,1.202,1.015
2425,7673192,K02722.02,Kepler-402 e,11.24284815,0.010988,0.81171,1.44,0.0988,931.0,177.7,17.57,5,6052.0,4.285,-0.12,1.202,1.015
2426,7673192,K02722.03,Kepler-402 b,4.02877097,0.009204,1.0396100000000001,1.21,0.0498,1311.0,699.45,9.63,5,6052.0,4.285,-0.12,1.202,1.015
2427,7673192,K02722.04,Kepler-402 d,8.92114318,0.009647,1.24769,1.27,0.0847,1006.0,241.79,17.38,5,6052.0,4.285,-0.12,1.202,1.015
2428,11807274,K00262.01,Kepler-50 b,7.81285862,0.009941,0.98735,1.68,0.0817,1196.0,483.06,14.714,2,6237.0,4.136,0.0,1.543,1.187
2430,6697756,K02798.01,Kepler-1351 b,0.916142298,0.008995,4.81851,0.6,0.0156,1212.0,507.47,5.98,1,4374.0,4.638999999999999,-0.34,0.614,0.6
2443,12314973,K00279.01,Kepler-450 b,28.45489091,0.035375,0.32991,6.08,0.1993,769.0,82.7,24.17,3,6206.0,4.159,0.22,1.573,1.305
2451,11135308,K02805.01,Kepler-1352 b,1.877878538,0.006379,1.09423,0.78,0.03,1701.0,1977.35,5.89,1,6324.0,4.352,-0.28,1.115,1.017
2452,6521045,K00041.03,Kepler-100 d,35.3331932,0.009621,0.63393,1.55,0.2143,670.0,47.52,34.7,3,5788.0,4.122,0.1,1.474,1.05
2453,8077137,K00274.01,Kepler-128 b,15.0896415,0.008074,1.60067,1.42,0.1231,968.0,207.64,26.81,2,6063.0,4.061,-0.1,1.613,1.092
2454,7019524,K02877.01,Kepler-1376 b,5.30873978,0.010322,1.61153,1.08,0.0598,1042.0,279.21,13.39,1,5914.0,4.4830000000000005,-0.06,0.955,1.011
2456,9825174,K02880.01,Kepler-1377 b,0.740926358,0.012828,5.92553,1.22,0.0153,1873.0,2909.21,5.561,1,5618.0,4.494,-0.18,0.874,0.87
2461,12008872,K02729.01,Kepler-1327 b,14.8877665,0.016055,0.25851999999999997,1.96,0.1186,831.0,112.85,14.47,1,6143.0,4.343999999999999,-0.2,1.116,1.001
2462,8415200,K02730.01,Kepler-1328 b,4.52158614,0.009333,0.8867700000000001,1.31,0.0529,1214.0,513.68,9.86,1,5576.0,4.2010000000000005,0.16,1.289,0.963
2464,9886361,K02732.01,Kepler-403 b,7.03146295,0.008449,0.29459,1.38,0.0779,1194.0,480.26,9.165,4,6170.0,4.192,0.24,1.499,1.282
2465,9886361,K02732.03,Kepler-403 c,54.2811949,0.012667,0.4558,2.07,0.3044,604.0,31.45,41.4,4,6170.0,4.192,0.24,1.499,1.282
